,quote,fake
5851,"""trump on revamping the military: we’re bringing back the draft.""",1
5852,"say maxine waters told cnn’s anderson cooper that her first act as president would be to ""impeach donald trump.""",1
5853,"""breaking news: donald trump on his way to donate kidney to melania trump.""",1
5854,"""thanks to the strong charter school reforms put in place while i was senate president"" the online charter school ecot ""was caught and is out of business.""",1
5856,"""prince william may not attend royal wedding leaving harry without a best man; princess diana would not be happy""",1
5857,"california gov jerry brown has proposed ""diverting 30 percent of the funding"" from the state’s gas tax increase ""to non-road related projects like building parks and job training for felons.""",1
5860,"""the first congress passed a law mandating that every able-bodied man must own a musket.""",1
5861,there is no ‘backlog’ of untested rape kits in wisconsin.,0
5862,"""there are currently 6 million jobs available in this country that are due in part to the skills gap.""",1
5863,"loretta lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the democrat party.""",1
5865,"gwen graham ""voted against president obama 52 percent of the time.""",1
5866,"jim sensenbrenner ""has been in office for 40 years"" and ""he's led on exactly one bill,"" the patriot act.",1
5867,a political map circulated by sarah palin’s pac incited rep. gabby giffords’ shooting,1
5869,"""obamacare premiums have doubled"" in wisconsin.",1
5870,"""what trump is alleged to have done is actually no different than what barack obama did in april last year when he made it known that he didn’t want hillary prosecuted.""",1
5871,"in parkland, fla. ""the mass murderer was immersed in islamic and leftwing hate.""",1
5872,"""i never said russia did not meddle in the election.""",1
5873,"""3 american women are murdered every day by their husband or boyfriend.""",0
5874,"melania trump hired exorcist to ""cleanse white house of obama demons.""",1
5875,"california’s prisons budget in 1970 ""was about 3 percent of the general fund. now, it’s 8.9 percent, about $12 billion.""",0
5876,"""no state generates as much solar power as california, or has as many people whose jobs depend on it.""",0
5877,"texas schools are ranked ""43rd in the nation.""",0
5878,"""566,000 crimes"" were ""made in texas by criminal aliens in the last 6 years.""",1
5879,"in one year, the united nations ""did 24 resolutions and 20 of them were against israel.""",1
5880,"""california to register illegal aliens to vote – automatically.""",1
5881,"""mueller will be forced to resign over pelosi affair.""",1
5882,"""82-year-old who killed a muslim in self-defense gets the death penalty.""",1
5883,"""22 to 24 people"" came into the united states due to family connection with suspect in the october 2017 new york city terror attack.",1
5884,"mexico is ""now rated the number one most dangerous country in the world.""",1
5885,"reauthorizing the children’s health insurance program ""for six years saves $1 billion"" and doing it for 10 years saves $6 billion.",0
5887,"""bill clinton’s hitman confesses on his deathbed.""",1
5888,"""when we say ‘one vote matters,’ it’s not just a saying – it has proven true 141 times in #ohio over the last five years.""",0
5890,"""i have consistently opposed shutdowns.""",1
5891,"""soros, obama and the dems ordered the shutdown to stage a coup""",1
5893,"evan jenkins was sen. joe manchin’s ""spokesperson. it’s true!""",0
5894,"president donald trump as a candidate mentioned wikileaks ""over 160 times in speeches"" in the last month of the campaign.",1
5896,"""we don’t give bonuses in the state of missouri on any level of government.""",0
5897,"""our families have the highest property taxes in the country. we must change this.""",1
5898,images show the turnout for president donald trump's 2017 ceremony with the new england patriots was smaller than the team’s turnout with president barack obama in 2015.,1
5899,"donald trump's use of the term ""fake news"" to undermine journalism ""seems (to have) inspired dictators and authoritarians.""",0
5900,"""chicago now has the highest employment in the private sector in the history of the city.""",1
5903,"""chrysler is leaving mexico and moving back to michigan.""",1
5904,"a national paid leave program ""would potentially put into the economy $21 billion dollars annually.""",0
5906,"senate deliberations on the affordable care act in 2009 and 2010 included hundreds of hours of debate and more than 100 republican amendments, compared with zero for the american health care act this year.",0
5907,"""americans are 25x more likely to be shot & killed than others in developed countries.""",1
5908,"""two million more people just dropped out of obamacare. it is in a death spiral.""",0
5909,"the senate intelligence committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",1
5911,"""eight in 10 people this year can find plans for $75 a month or less.""",0
5912,"""coal production up 7.8% in past year. down 31.5% last 10 years. #endingwaroncoal.""",1
5913,"florida ""workers are paid $8.10 an hour, and our current governor (rick scott) runs ads bragging about it.""",1
5914,"""all pipelines that are coming into this country from now on has to be american steel.""",0
5915,"the t.r.u.m.p. act, which would force presidential candidates to release their tax returns to run in north carolina, ""has a lot of support – by a majority of north carolinians and members of both parties.""",1
5917,"with north korea, ""nobody has ever seen such a positive response on our behalf from china.""",0
5918,"""we’ve lost 70,000 factories since china joined the world trade organization.""",0
5919,"""idc members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are republicans with connections to trump""",1
5920,"""liberals in county hall want our community to be a sanctuary county""",0
5923,"""part of this omnibus gun bill that year (was) legalizing machine guns in the state of missouri.""",1
5925,"""background checks have been unequivocally shown to reduce gun violence.""",1
5927,"""it's a longstanding policy of the department of justice not to comment on conversations that the attorney general has had with the president of the united states.""",0
5928,"""how many federal rulings have now found intentional discrimination by #txlege since 2011? 6.""",1
5929,"his campaign has received donations from ""more than 7,000 contributors.""",1
5930,"""nasa confirms earth will experience 15 days of darkness in november 2017.""",1
5931,"""the dea just raided a united states senator — dems in a panic.""",1
5932,"""grandparents must pickup up all their grandchildren every weekend no matter what or they will be fined $5,000.""",1
5933,"""loopholes in current law prevent ‘unaccompanied alien children’ (uacs) that arrive in the country illegally from being removed.""",1
5934,"""president trump signs executive order stripping nfl of ‘non-profit’ status.""",1
5936,"""there have been more than 270 mass shootings in the united states in the last year alone. that’s where four or more are killed.""",1
5937,"in a government shutdown, ""what they are really doing is shutting down our military.""",0
5938,"california is 41st in the nation in per pupil k-12 spending, but ""no. 1 in per prisoner"" spending.",1
5939,"""fifty percent of our new"" texas ""teachers don’t have college degrees.""",1
5940,"""a case before washington’s supreme court seeks to effectively end public labor unions.""",0
5941,"""of all the 62 counties in new york state, all of them, unemployment is going up except for the five counties of new york city.""",0
5942,"""the graduation rate in new york city has increased by 50 percent in 13 years""",1
5943,"rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",1
5944,"keanu reeves gave a speech that began, ""i cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ...""",1
5946,"""edward snowden: osama bin laden is still alive living in the bahamas.""",1
5947,"""while (women) represent 47 percent of the overall work force, we only make up 23 percent of stem-related occupations.""",0
5948,"""democrats announce they will abolish ice if they win 2020 election.""",1
5949,"""i personally am pro-choice. i always have been. and i made no qualms about that when i was elected governor.""",1
5950,"winston churchill said, ""a lie gets halfway around the world before the truth has a chance to get its pants on.""",1
5951,"trump’s tax plan is ""completely focused on the wealthy and the powerful - not the middle class.""",0
5953,"""the obama administration approved the sale of bump fire stocks on at least two occasions.""",1
5954,"""the republicans are proposing to pay for their giant tax cut to the rich by gutting medicare and medicaid.""",0
5955,"""las vegas shooting witnesses report multiple gunmen dressed as security guards.""",0
5956,"90 percent of americans ""support universal background checks"" for gun purchases.",1
5957,"for 22 percent of n.h. meals on wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",0
5958,former fbi director james comey admitted to leaking classified information.,1
5959,"""we have pay equity. when you think about that wage gap, we all know it's 78 cents to the dollar. well, in new york state it's 90 cents to the dollar.""",1
5960,"""seventy-seven of the top 300 cities with the highest poverty rate"" nationwide are in california.",1
5961,"""every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""",1
5962,"""the best estimate is that 200,000 people in wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",1
5964,an internet meme shows people rejoicing over the paris agreement.,0
5965,"special counsel robert mueller ""has brought in democrat campaign donors at a very high level"" on his team of lawyers.",1
5966,"""we’re growing union jobs faster than illinois.""",1
5967,"jake tapper said allahu akbar was a ""beautiful phrase"" after a terrorist attack in new york.",0
5969,"""we are spending more on affordable housing than we're spending on dix park right now.""",1
5970,"""under gov (rick) scott’s leadership, florida has had much success in lowering the rate of uninsured children.""",1
5971,"""california democrat maxine waters charged on 3 counts.""",1
5972,"""it costs nearly five times as much in california to build and maintain a mile of road as it does in the rest of the nation.""",1
5973,"""alabama’s crimson tide was disqualified from national championship.""",0
5974,"actor morgan freeman said, ""jailing hillary"" is the best way to ""restore public faith in government.""",1
5975,"in the alabama senate runoff, ""the candidate i endorsed (luther strange) went up many points after endorsement!""",1
5977,"""the first amendment’s the first amendment. it goes start to finish. we can’t say to one football coach you’re fired if you kneel in silent prayer at the end of the game, but to a player, if you kneel in protest to a game, you’re celebrated.""",0
5978,"""the soda tax can make a difference by reducing consumption of unhealthy soda pop and sugary beverages.""",0
5979,"in wisconsin, ""we have a bill that would allow hidden, deadly weapons -- every single person to carry one -- no training, no background check, even around schools.""",0
5980,"""white men have committed more mass shootings than any other group.""",1
5981,"""it's time to remove any statue of margaret sanger who was a white suprematist (sic), spoke at kkk events & supported by democrats. #prolife""",1
5982,"north carolina has ""the strictest anti-gerrymandering standards in the entire country.""",0
5983,"the dickey amendment ""prevents the centers for disease control and prevention from even researching the relationship between gun violence and public health. ... the government can’t study gun violence but is spending $400,000 analyzing the effects of swedish massages on rabbits.""",0
5984,"some states hit hardest by opioid deaths ""have more opioid prescriptions than residents.""",0
5985,"california lt. gov gavin newsom was ""for (high-speed rail), before he’s against it, and then he’s for it again.""",1
5987,"""the average tax bill for americans in 2016 was a 41 percent increase from 2013.""",1
5988,"the diversity visa lottery program is ""a chuck schumer beauty.""",0
5990,"""tammy baldwin voted for $5 trillion in higher taxes.""",1
5991,"hiv and aids rates have spiked ""due to increased heroin and fentanyl use.""",1
5993,"""in 2017, i've done 17 town halls.""",1
5995,on whether higher federal deficits are acceptable.,0
5996,"while mayor rick kriseman said he would dip into reserves this year because of hurricane irma, he ""went into the emergency reserves before irma ever hit.""",1
5997,"""california, new york and massachusetts, they represent about 20 percent of the population, they get close to 36 percent of obamacare funding. it's just simply inequitable.""",0
5998,"new york has ""the biggest outmigration of citizens of any state.""",0
5999,"""we’re the only developed nation in the world that doesn’t have paid maternity leave.""",1
6000,"""the united states ended slavery around the world, and maybe we should get some credit for that, too.""",1
6001,"""study what general pershing of the united states did to terrorists when caught. there was no more radical islamic terror for 35 years!""",1
6002,"sen. bill nelson ""has aligned himself with communists and dictators,"" ""went to venezuela to admire chávez’s revolution"" and ""supports murderers.""",1
6003,"wages ""haven’t gone up for a long time.""",1
6004,"""there are communities under sharia law right now in our country. up in illinois. ... there’s sharia law, as i understand it, in illinois, indiana -- up there. i don't know.""",1
6005,"""governor rauner has called every year for eliminating funding for afterschool programs for at-risk youth, homeless prevention services and programs that help autistic children.""",1
6006,"""no, i don't benefit, i don't benefit"" from his tax proposal.",1
6007,"""human meat found in mcdonald’s meat factory""",1
6008,"ending the estate tax would ""protect millions of small businesses and the american farmer.""",1
6010,"""the current city mayor (kasim reed) has been virtually absent in terms of regional cooperation the last eight years.""",1
6011,"""breitbart leaks names of four dems being charged in mueller’s russia probe.""",0
6012,"""for the last 10 years, our economy has grown at less than 2 percent on average every single year for 10 years. we have not had a decade like that in a century in america.""",1
6013,"the university of missouri saw ""the biggest drop in enrollment of any major university in the country"" since the 2015 protests.",1
6014,"""the six wealthiest people in the world (have) as much wealth as the bottom half of the world’s population, 3.7 billion people.""",1
6016,"""whoopi goldberg humiliated, handcuffed and dragged out of the tv studio.""",1
6017,"""foxconn tax break could exceed $1 million per job.""",1
6018,"chicago city officials ""have adopted an official policy of protecting criminal aliens who prey on their own residents.""",1
6019,"paul manafort’s alleged crimes were ""years ago, before paul manafort was part of the trump campaign.""",1
6020,"patrick morrisey ""ran for congress in nj as pro-choice.""",1
6021,"the u.s. supreme court ruled that public school in the united states ""will not teach the tenets of islam or sharia law.""",1
6022,"""we do have a trade deficit with canada, as we do with almost all countries (some of them massive).""",0
6023,"""pta meetings are now being conducted to help parents tell their kids"" that if a guy with an ar-15 walks into their classroom, ""you are supposed to create as much chaos as you possibly can. they want you to scream and yell and dance around and throw books and just keep moving.""",1
6024,"beto o’rourke wants ""open borders and wants to take our guns.""",1
6026,"""trump declares globalist soros as ‘national security threat’ using obama’s 2014 executive order.""",1
6027,"""in the 1980s, the state funded 68% of school expenses, and now the state’s share is 38%.""",1
6028,"he’s a ""retired u.s. navy officer.""",1
6029,"michelle obama said florida shooting ""is clearly our president’s fault.""",0
6030,"""washington state legislature votes to change its name because george washington owned slaves.""",0
6031,"""since 2010, republicans have won unaffiliated voters in every general election.""",0
6032,"""so now they take drugs, literally, and they throw it, a hundred pounds of drugs. they throw it over the wall, they have catapults, but they throw it over the wall, and it lands and it hits somebody on the head.""",1
6033,"north korea is ""the fifth or fourth most sanctioned nation.""",1
6036,"wisconsin's $3 billion incentive offer to foxconn is ""the largest gift ever by a state to a foreign company.""",1
6037,"""when rick baker heard (racist remarks from another mayoral candidate), he went after congemi. rick kriseman he just looked away. tolerating bigotry in silence is no virtue; taking it on is.""",1
6038,"""charlottesville car attacker is anti-trump antifa supporter.""",1
6039,"""virginia police arrest wrong person to cover for antifa member who ran over protesters.""",1
6043,"district attorneys ""have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a united states citizen, so they won’t be deported.""",0
6045,"that under the obamacare law, health insurance ""premiums have increased by more than 105 percent since"" 2013.",1
6046,"the las vegas shooting was the ""273rd mass shooting"" in the united states so far in 2017.",1
6047,"""the crowd (in las vegas) fled at the sound of gunshots. imagine the deaths if the shooter had a silencer ...""",1
6048,"bryan county, ga., has ""corrupted voter rolls.""",1
6049,"""we have 5 percent of world population. 80 percent of opioids.""",1
6050,"in the house republican health care bill, ""we’re expanding women’s access to health services by redirecting planned parenthood dollars to community health centers, which vastly outnumber planned parenthood clinics.""",1
6051,"""nobody on medicaid"" will have their benefits taken away.",1
6052,"the gop health bill ""would once again allow being a rape or domestic violence victim to be a pre-existing condition.""",0
6053,"""clinton foundation ordered to cease operations – chelsea (clinton) charged with fraud!""",1
6054,"""under ‘trumpcare,’"" domestic violence and sexual assault ""could be considered pre-existing conditions.""",1
6055,"""the bill that i carried cutting mo’s income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg eric_schmitt""",0
6056,"""if you pass the so-called dream act, it will be the single biggest amnesty in the history of the united states, even bigger than the 1986 amnesty.""",1
6057,"""12 more hurricanes headed towards u.s.""",1
6058,"florida’s coastal and stormwater infrastructure are ""two of the most critical areas during a storm, and received d-plus and d ratings, respectively, by the american society of civil engineers in 2016.""",0
6059,"""nfl fines pittsburgh steelers $1 million each for skipping national anthem.""",1
6060,"""fox sports cancels all nfl broadcasts ‘until players respect the flag.’ """,1
6061,"about a third of wisconsin’s high schools ""are missing the mark of graduating young adults who are college ready,"" a ""pass rate of 66.6%.""",0
6062,"""just last may, the department of justice inspector general found that these (‘sanctuary city’) policies also violate federal law.""",0
6063,"if a florida bill (hb 697) punishing sanctuary cities becomes law ""it will be the only law of its kind in the nation.""",0
6064,"""global food demand is expected to increase by 50 to 97 percent by 2050.""",1
6065,"""as an undocumented immigrant, you do have constitutional rights here in the united states.""",0
6066,"""i don’t need a lecture from kirsten gillibrand or anybody else who protected and defended and harbored a sitting president who had sexual relations in the oval office and was impeached for lying.""",1
6067,"about new york state: ""we have the highest debt per capita.""",1
6068,"""the president is cutting the cdc budget by 80%.",0
6069,"he has a plan for ""$1 billion in tax relief for illinois.""",1
6070,"that as a judge, she has ""presided over more than 10,000 cases.""",1
6071,"""in the rest of the world, there have been 18 school shootings in the last twenty years. in the u.s., there have been 18 school shootings since january 1.""",0
6072,"""seattle police begin gun confiscations: no laws broken, no warrant, no charges.""",1
6073,"say sean hannity said in 2008 that obama’s willingness to meet with north korea was ""disturbing"" while trump’s ""willingness to meet with north korea is a huge foreign policy win.""",1
6074,delta airlines is offering free airline tickets for people who take a short survey,1
6075,"""singer miley cyrus: ‘trump fans are destroying my career, i can’t stand them and i decided to move to…’""",0
6077,china and singapore impose the death penalty on drug dealers.,1
6078,"""black americans still earn less than 73 percent of what white men make.""",1
6079,"""the kardashians donate whopping sum to las vegas mass shooting victims""",1
6080,a flight crew took a knee and stranded the new orleans saints on an airport runway.,1
6082,"""san juan teamsters didn't show up for work to distribute relief supplies"" because they went on strike.",1
6083,"that during the supreme court campaign, michael screnock has ""vowed to uphold the platform of the nra.""",0
6084,"""the state of california is begging us to build walls in certain areas. they don’t tell you that.""",0
6085,"the u.s. steel and aluminum industry is ""a fraction of what it once was.""",0
6086,"richard cordray directed an ohio commission to ""permit an armed group to have a rally on the statehouse grounds, even taking the extraordinary step of assuming personal responsibility for waiving an insurance requirement in the event of an incident.""",1
6087,"the last private rocket launch ""cost $80 million. if the government did it, the same thing would have cost probably 40 or 50 times that amount of money. i mean, literally.""",1
6088,the texas general land office led by george p. bush has repaired just two homes since hurricane harvey.,1
6089,"in april, ""the vast majority will be (filling out their taxes) on a single postcard.""",0
6090,"""coffee is the second-most traded commodity after oil.""",1
6092,"""we have got 20 million folks out there across this land who have told the federal government, ‘phooey, nonsense, i’m not going to participate in your program, because it doesn’t do what i need done.’ """,1
6094,"a report from the nonpartisan congressional budget office ""confirms that the american health care act will lower premiums.""",0
6095,"he’s only there for one purpose and one purpose only, and that is to run a shadow government that is gonna totally upset the new agenda.",1
6096,"""according to the fbi, mexican drug cartels are working with 100,000 street gang members in chicago alone.""",1
6097,"""one-third of the counties — think of it, one-third — only have one insurer left"" on the affordable care act exchanges.",0
6098,"president donald trump's travel ban could ban somalis ""from getting relief (from famine) through coming to the united states.""",1
6099,"there ""are not cuts to medicaid"" in the gop health care proposals.",1
6100,"the senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",1
6101,"""fbi raids obama – find massive secret that was hidden for years.""",1
6104,"""robert redford says: michelle and barack obama should get five years in prison.""",1
6105,"""pennsylvania (is) the only state in the country not to tax drillers.""",1
6106,"jennifer aniston said, ""me and all the trump supporter celebrities decide to make a company named ‘celebrities for trump’""",0
6107,"sen. tammy baldwin ""claims to support a 'buy america' philosophy, but her actions speak louder than her empty words.""",1
6108,"""the vast majority of crime that is gun related is committed by people who illegally are possessing that firearm.""",1
6110,"""fbi issues warrant for obama’s arrest after confirming illegal trump tower wiretap.""",1
6111,"shoprite will lose about 300 employees ""voluntarily and through layoffs"" due to the beverage tax.",1
6112,"""‘trumpcare’ would allow insurance execs to personally make millions off your health care.""",1
6114,"""sixty-two percent of all (texas) property taxes are paid by businesses.""",1
6115,"john quincy adams said, ""if your actions inspire others to dream more, learn more, do more, and become more, you are a leader.""",1
6116,"""bill o’reilly in critical condition after being attacked by ‘tolerant’ liberals.""",1
6117,"on the republican tax plan: ""unfortunately, the wealthy are, again, not going to do well in this bill""",1
6118,"""we essentially repealed obamacare because we got rid of the individual mandate ... and that was a primary source of funding of obamacare.""",1
6119,"of the diversity visa lottery program, ""they give us their worst people, they put them in a bin,"" and ""the worst of the worst"" are selected.",1
6120,breaking: illegal muslim from iran arrested for starting california wildfire,1
6121,"""breaking: muslim new jersey mayor just banned the word ‘christmas.’""",1
6122,nasa has just confirmed earth has a new moon,1
6123,"u.s. rep. ron desantis ""voted in favor of food stamps for illegal immigrants.""",1
6124,"many march for our lives speakers called for ""the murder of those who would not turn over their guns to the government.""",1
6125,"""trey gowdy breaks his silence after 2 of his investigators are found tortured and killed.""",1
6126,"a bill in congress ""will ban all semi-automatic weapons, including pistols and shotguns. so, yes, they are coming to take away our guns.""",1
6127,"""mass voter fraud just discovered, to the amount that could void hillary’s victory in new hampshire.""",1
6128,"""facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on november 8, 2016: new hampshire’s u.s. senate seat, and perhaps also new hampshire’s four electoral college votes in the presidential election.""",1
6130,"""if the cbo was right about obamacare to begin with, there'd be 8 million more people on obamacare today than there actually are. … sometimes we ask them to do stuff that they're not capable of doing.""",0
6131,"""and this would be the first year, if everything holds true, we will spend over $10 billion of our state budget on medicaid out of the $28 billion budget.""",1
6132,"condoms ""used to be tax-exempt here in texas.""",1
6133,"""alabama state police arrest 3 poll workers in birmingham.""",1
6134,"""law passed: all child support in the united states will end by beginning of 2018.""",1
6135,"""now it’s official: fda announced that vaccines are causing autism.""",0
6136,"marco rubio tweeted a verse from the new testament to shame ""his own constituents for flocking to trump rally.""",0
6137,"the obama administration said ""they were going to be able to drive folks away from one of the most expensive areas for the provision of health care, and that is the emergency rooms. in fact, they did just the opposite.""",1
6138,"carbon dioxide is not ""a primary contributor to the global warming that we see.""",0
6139,"""cost of iphone: $399 - cost of healthcare for 1 year: $10,345 - hearing jasoninthehouse compare the 2 as if they are the same: priceless""",1
6141,"american aluminum and steel ""are vital to our national security. ... they are the bedrock of our defense industrial base.""",1
6142,"""the obama administration had cut $300 million from school safety.""",0
6143,"""because of #taxreform, 4 million american workers have received raises and bonuses, and 90% of americans are seeing bigger paychecks this month.""",1
6144,"the flu shot is ""designed to spread cancer.""",1
6145,"""when i was campaigning, i was talking about 18 and 20 years (when) wages effectively went down. now, for the first time in a long time, they're starting to go up for people.""",1
6146,"""the koch brothers have given"" paul ryan ""$500,000 in campaign contributions.""",1
6147,"""i can say that the people that have been hired (for the independent russia investigation) are all hillary clinton supporters, some of them worked for hillary clinton.""",1
6148,investigators have found remains of missing women in steel barrels buried on bill and hillary clinton’s property.,1
6149,"""massive bumble bee recall after 2 employees admit cooking a man and mixing him with a batch of tuna.""",0
6150,"""if you became a medicaid recipient through the obamacare expansion, you are grandfathered in.""",1
6151,"""when colleges and universities are added, education spending is the biggest item in the state budget — about 52 percent of all state dollars.""",1
6152,"under the house republican health plan, sexual assault is a pre-existing condition.",0
6153,police officers smoke marijuana once a year as part of their jobs.,1
6156,"""dems want billions to go to insurance companies to bail out donors""",0
6157,"california’s single-payer healthcare proposal would ""force seniors off of medicare.""",0
6158,"""florida is one of only 10 states that totally prohibit a (firearm) registry.""",0
6159,"""since 1990, production of metals in the u.s. has held roughly constant, but the number of people employed in the industry has fallen steadily.""",1
6160,"""china, my understanding is, supplies 4 percent of the steel in the u.s.""",1
6162,"""update: chuck schumer’s steamy affair with a high school cheerleader confirmed.""",1
6163,"the 1986 tax reform approved under ronald reagan ""was polling at about 18 percent right before they passed it.""",0
6164,"""update: ‘thousands’ voted for doug jones in alabama town with population of 2,256""",1
6165,"""seven years later, (scott walker) has not hit his first campaign promise of creating 250,000 jobs.""",0
6166,"a waiver in the american health care act ""doesn’t apply to things like maternity coverage.""",1
6167,"although california has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation.",1
6168,"""most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",1
6170,"""chinese lunar rover finds no evidence of american moon landings.""",1
6172,"""the united states is 3rd in murders throughout the world. if you remove chicago, detroit, washington, st. louis and new orleans, the united states is then 189th out of 193 countries in the entire world.""",1
6173,"""ohio student suspended for staying in class during national walkout day""",1
6174,"""last year we lost $500 billion on trade with china.""",0
6175,obamacare has led to fewer health insurance options for millions of americans.,1
6176,"barack obama ""acknowledged over 20 times"" that his administration’s deferred action for parents of americans ""immigration edict was a violation of law and the separation of powers.""",1
6177,"the trump administration has granted amnesty to ""nearly 100,000 'dreamers' """,1
6178,"""a study by the national economics research association showed that the (paris climate) deal could cost 2.7 million lost jobs in the u.s. by 2025 should our country adhere to the commitments made by the obama administration.""",1
6179,"""libtard hero al franken forced to resign in disgrace.""",1
6181,"""obama announces bid to become un secretary general""",1
6182,"how they are the least trusted network.""",1
6183,"""greitens accuser admits photo session may have been a ‘dream.’ """,1
6186,"donald trump’s ""golf course on the island defaulted, like so many of his other failed business schemes. the failure left puerto rican taxpayers with a nearly $33 million bill.""",1
6187,on voting for a health care bill without an up-to-date congressional budget office score,0
6188,"the republican plan to replace obamacare, ""absolutely does not eliminate protections for pre-existing conditions.""",0
6189,"""40 percent of american households have female primary breadwinners.""",1
6190,"""here are the facts: there is no massive wave of migrants pouring into california. overall immigrant apprehensions on the border last year were as low as they’ve been in nearly 50 years (and 85 percent of the apprehensions occurred outside of california).""",1
6191,"""on average, american women only earn 80 cents for every dollar a man earns for doing the same job.""",0
6192,"""luke messer? he plotted with the never-trumpers to steal the nomination from president trump.""",1
6193,"new york has ""among the highest tax burdens of any state in the nation""",1
6194,"""dying 78 year old cia agent admits to killing marilyn monroe.""",1
6196,"missouri is one of ""13 states this year have seen unemployment drop to the lowest levels in the history of their state.""",0
6198,"missouri ""is leading the country when it comes to improving services for mental and behavioral health. innovation is happening right here.""",1
6200,"the house tax plan ""would provide permanent tax cuts for individuals who are multi-millionaires and billionaires,"" but ""all middle-class families will eventually face a tax increase, since tax relief for them expires.""",1
6201,"""docs: wisconsin governor scott walker took $1 million from a pro-putin ukrainian businessman—last election cycle.""",0
6202,"""this is not the first time (the russians) have been involved in our elections.""",0
6203,"""cannibals arrested in florida claim eating human flesh cures diabetes and depression""",1
6204,"jon ossoff ""doesn't even live in (his) district.""",1
6205,"kellyanne conway said liberal women hate her because of her ""striking beauty and intellect.""",1
6206,"""since 1999, firearm deaths in ohio have risen 58 percent.""",1
6207,"""rick scott wants to destroy social security by privatizing it.""",0
6209,"that unless the recipient called back about ""your tax filings,"" you ""will be taken into custody by the local cops as there are more serious allegations pressed on your name.""",1
6210,"""pope francis cancels the bible and proposes to create a new book.""",1
6211,"he presented ""a balanced budget.""",1
6212,"the gop health care plan gives ""$275 billion in tax breaks for the top 2 percent, people earning $250,000 a year or more.""",1
6213,on filibusters for u.s. supreme court nominees.,1
6214,"""Obama being dragged before a judge in handcuffs for wiretapping Trump.""",1
6215,"under the affordable care act, ""some people were gaming the system"" by paying ""for nine months of insurance, get 12 -- the other three for free.""",1
6218,"congressional black caucus introduces bill to ""tax people for being white.""",0
6219,"""eric holder and his group came in and made"" the wisconsin supreme court race ""highly partisan.""",1
6220,"buzz aldrin ""passes ufo lie detector test leaving experts convinced that he encountered alien life.""",1
6221,"san francisco and takoma park, md., are ""allowing illegals to vote.""",0
6223,"""nearly 2/3 of rural missourians don’t have access to broadband. that needs to change.""",1
6224,"""president obama used"" his daca order ""to unilaterally confer u.s. citizenship.""",1
6225,"""so the number on daca is 800,000, but every one person can bring in their entire extended family once they reach a certain status. so it's 3 or 4 million, right?""",0
6226,"""we've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws.""",0
6227,"""the latest polls show us tied neck-and-neck"" with sen. ted cruz.",1
6228,"""this new gas tax does not increase (road) capacity anywhere in the state. it will build no new lanes of freeways. if californians didn’t like their traffic before, they’re going to like it even less when they’re stuck in the exact same traffic and paying more for their gas.""",0
6229,"there won't be a recount in alabama because a democratic judge said ""we're going to erase all the computer files ... on wednesday morning.""",1
6230,"""new jersey police chief says black people ‘have no value’ and should all be executed.""",1
6231,"the house tax bill has ""a lot more permanent relief for middle-income and even lower-income families"" than the senate bill does.",1
6232,"jose felix diaz supports president donald trump's ""plan to slash medicare, charge older americans an age tax and cut coverage for pre-existing conditions.""",1
6233,"""half of all immigrant households receive benefits from our social welfare system.""",1
6234,"emails show democrats, hillary clinton and george soros instigated and orchestrated racial protests in charlottesville by trying to ""control"" and keep people ""desperate.""",1
6235,"""dwayne 'the rock' (johnson) has officially filed for the 2020 presidential campaign""",1
6236,"""every one of the financial bad management practices that i inherited, every one of them, have either been eliminated or cut significantly.""",0
6237,"""nancy pelosi suffers breakdown, taken from capitol hill on a stretcher.""",1
6238,"""the same unhinged leftists cheering last week's shooting are all backing jon ossoff.""",1
6239,"""trump welcomes jamaica as a u.s. territory""",1
6240,barack obama complained that democrats continue to ignore blacks except at election time.,1
6241,"""the new rasmussen poll, one of the most accurate in the 2016 election, just out with a trump 50% approval rating. that's higher than o's #'s!""",1
6242,"""president trump last month proposed a $6 billion cut in funding to the national institutes of health. and thank god our congressmen made a deal last night to not go along with that. they actually increased funding by $2 billion.""",1
6243,"there are ""paid protesters"" involved in the stephon clark demonstrations.",1
6244,"""walmart rewards everyone with $75 coupon to celebrate its 125th anniversary""",1
6245,"""malia obama suspended after racist anti-white attack goes viral.""",0
6246,"epa administrator scott pruitt's short-term rental ""was about market rate.""",1
